#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
327.519995,125,648.153322
375.892207,138,649.479165
362.399763,134,650.796035
348.596158,130,652.049521
345.726759,130,653.290806
333.935263,124,654.488414
374.257194,137,655.802302
339.027761,130,657.046196
364.616684,132,658.313117
365.198873,137,659.625424
358.737198,132,660.894116
291.359812,118,662.021633
350.753259,133,663.293134
347.0556,128,664.515087
368.310361,129,665.74441
374.609795,136,667.043844
359.06886,133,668.315627
362.362882,135,669.606217
370.553527,135,670.911598
360.186297,131,672.165606
369.479971,134,673.442075
358.818915,130,674.681954
362.355767,135,675.963876
358.691832,134,677.237949
350.708614,136,678.534924
367.538385,133,679.807311
348.271284,134,681.110566
365.497245,135,682.403051
353.678434,132,684.26543
326.773056,127,685.476907
344.501898,128,686.701419
345.000848,134,687.981811
348.534229,124,689.163449
254.874632,111,690.245392
331.247318,128,691.479998
342.802373,129,692.702639
344.923556,131,693.954976
361.367123,135,695.24881
352.498595,132,696.511889
368.540861,135,697.796219
335.075547,126,699.0057
321.024076,124,700.207978
365.911229,134,701.498843
358.574721,133,702.769897
349.166121,132,704.02493
362.045249,132,705.281634
342.668551,128,706.505097
263.33587,114,707.591199
392.907438,139,708.91755
341.815592,128,710.15072
370.975486,135,711.455655
259.929811,112,712.517579
366.699007,135,713.802768
372.491842,134,715.075592
372.273852,140,716.40393
383.692247,151,717.837401
371.841706,136,719.133145
380.998273,136,720.437917
386.185542,138,721.768073
376.254735,138,723.08145
260.653728,112,724.14778
356.665084,136,725.440292
392.406264,140,726.774302
432.549067,152,728.214448
391.922326,139,729.536222
383.363945,141,730.902029
450.395641,153,732.367007
384.142163,135,733.650784
302.393926,125,734.846274
385.533269,137,736.147104
395.59053,140,737.476809
355.862917,137,738.78074
376.116656,134,740.078983
400.370648,140,741.428468
400.052526,140,742.762711
395.679148,140,744.102108
401.942377,140,745.438206
352.653163,135,746.725666
397.147738,139,748.047066
358.888682,138,749.365245
377.821824,138,750.72827
405.28908,140,752.092041
400.725599,141,753.467029
391.043683,138,754.807263
415.828124,152,756.254034
355.744871,134,757.523679
382.154911,140,758.85576
397.028778,138,760.184939
425.433105,148,761.601549
356.640156,139,762.923749
379.56578,133,764.187846
427.029714,151,765.633518
325.890206,133,766.903642
361.30999,136,768.197957
376.823089,146,769.596318
421.983168,151,771.052944
397.152296,144,772.426804
399.114001,138,773.738846
376.042133,142,775.203188
373.862336,139,776.649365
359.266667,140,778.008389
343.698696,135,779.310879
330.019187,134,781.238504
455.149227,176,782.939001
293.579426,126,784.151554
322.150264,134,785.442416
382.227061,143,786.824421
334.452407,131,788.090739
360.94452,140,789.443481
306.205823,134,790.757173
322.941572,132,792.057876
305.706373,132,793.333592
319.194956,132,794.614035
287.208177,127,795.841435
293.433497,127,797.067136
294.278969,126,798.28631
376.012628,146,799.709446
343.861779,134,801.028505
310.4482,135,802.338134
318.549381,133,803.625796
354.543588,136,804.940276
300.700239,127,806.170385
322.78809,132,807.450541
300.242048,129,808.69928
426.191099,150,810.161034
326.329469,130,811.422094
291.792901,131,812.678672
